year,total_btu,full_source
1977,3582,"Geothermal, Electric Utility"
1977,220477,"Hydroelectric, Electric Utility"
1977,0,"Solar, Electric Utility"
1977,0,"Wind, Electric Utility"
1977,3123,"Hydroelectric, Industrial"
1977,0,"Solar, Industrial"
1977,0,"Wind, Industrial"
1978,0,"Hydroelectric, Commercial"
1978,0,"Solar, Commercial"
1978,0,"Wind, Commercial"
1978,2978,"Geothermal, Electric Utility"
1978,280419,"Hydroelectric, Electric Utility"
1978,0,"Solar, Electric Utility"
1978,0,"Wind, Electric Utility"
1978,3045,"Hydroelectric, Industrial"
1978,0,"Solar, Industrial"
1978,0,"Wind, Industrial"
1979,0,"Hydroelectric, Commercial"
1979,0,"Solar, Commercial"
1979,0,"Wind, Commercial"
1979,3889,"Geothermal, Electric Utility"
1979,279783,"Hydroelectric, Electric Utility"
1979,0,"Solar, Electric Utility"
1979,0,"Wind, Electric Utility"
1979,3292,"Hydroelectric, Industrial"
1979,0,"Solar, Industrial"
1979,0,"Wind, Industrial"
1980,0,"Hydroelectric, Commercial"
1980,0,"Solar, Commercial"
1980,0,"Wind, Commercial"
1980,5073,"Geothermal, Electric Utility"
1980,276021,"Hydroelectric, Electric Utility"
1980,0,"Solar, Electric Utility"
1980,0,"Wind, Electric Utility"
1980,3162,"Hydroelectric, Industrial"
1980,0,"Solar, Industrial"
1980,0,"Wind, Industrial"
1981,0,"Hydroelectric, Commercial"
1981,0,"Solar, Commercial"
1981,0,"Wind, Commercial"
1981,5686,"Geothermal, Electric Utility"
1981,260686,"Hydroelectric, Electric Utility"
1981,0,"Solar, Electric Utility"
1981,0,"Wind, Electric Utility"
1981,3162,"Hydroelectric, Industrial"
1981,0,"Solar, Industrial"
1981,0,"Wind, Industrial"
1982,0,"Hydroelectric, Commercial"
1982,0,"Solar, Commercial"
1982,0,"Wind, Commercial"
1982,4843,"Geothermal, Electric Utility"
1982,309210,"Hydroelectric, Electric Utility"
1982,0,"Solar, Electric Utility"
1982,0,"Wind, Electric Utility"
1982,3162,"Hydroelectric, Industrial"
1982,0,"Solar, Industrial"
1982,0,"Wind, Industrial"
1983,0,"Hydroelectric, Commercial"
1983,0,"Solar, Commercial"
1983,0,"Wind, Commercial"
1983,6075,"Geothermal, Electric Utility"
1983,332127,"Hydroelectric, Electric Utility"
1983,0,"Solar, Electric Utility"
1983,2,"Wind, Electric Utility"
1983,3162,"Hydroelectric, Industrial"
1983,0,"Solar, Industrial"
1983,0,"Wind, Industrial"
1984,0,"Hydroelectric, Commercial"
1984,0,"Solar, Commercial"
1984,0,"Wind, Commercial"
1984,7741,"Geothermal, Electric Utility"
1984,321149,"Hydroelectric, Electric Utility"
1984,5,"Solar, Electric Utility"
1984,7,"Wind, Electric Utility"
1984,3162,"Hydroelectric, Industrial"
1984,0,"Solar, Industrial"
1984,0,"Wind, Industrial"
1985,0,"Hydroelectric, Commercial"
1985,0,"Solar, Commercial"
1985,0,"Wind, Commercial"
1985,9326,"Geothermal, Electric Utility"
1985,281151,"Hydroelectric, Electric Utility"
1985,11,"Solar, Electric Utility"
1985,6,"Wind, Electric Utility"
1985,3162,"Hydroelectric, Industrial"
1985,0,"Solar, Industrial"
1985,0,"Wind, Industrial"
1986,0,"Hydroelectric, Commercial"
1986,0,"Solar, Commercial"
1986,0,"Wind, Commercial"
1986,10309,"Geothermal, Electric Utility"
1986,290844,"Hydroelectric, Electric Utility"
1986,14,"Solar, Electric Utility"
1986,4,"Wind, Electric Utility"
1986,3162,"Hydroelectric, Industrial"
1986,0,"Solar, Industrial"
1986,0,"Wind, Industrial"
1987,0,"Hydroelectric, Commercial"
1987,0,"Solar, Commercial"
1987,0,"Wind, Commercial"
1987,10776,"Geothermal, Electric Utility"
1987,249694,"Hydroelectric, Electric Utility"
1987,10,"Solar, Electric Utility"
1987,4,"Wind, Electric Utility"
1987,3162,"Hydroelectric, Industrial"
1987,0,"Solar, Industrial"
1987,0,"Wind, Industrial"
1988,0,"Hydroelectric, Commercial"
1988,0,"Solar, Commercial"
1988,0,"Wind, Commercial"
1988,10300,"Geothermal, Electric Utility"
1988,222938,"Hydroelectric, Electric Utility"
1988,9,"Solar, Electric Utility"
1988,1,"Wind, Electric Utility"
1988,3162,"Hydroelectric, Industrial"
1988,0,"Solar, Industrial"
1988,0,"Wind, Industrial"
1989,65,"Hydroelectric, Commercial"
1989,14,"Solar, Commercial"
1989,0,"Wind, Commercial"
1989,14593,"Geothermal, Electric Utility"
1989,269189,"Hydroelectric, Electric Utility"
